RespondentID,Action Design DC Meetup,Big Data DC Meetup,Big Data District Meetup,Data Business DC Meetup,Data Science DC Meetup,DC ACM events,DC Lean Startup Circle Meetup,DC Python Meetup,DC Tech Meetup,eDiscovery DC Meetup,Federal Big Data Meetup,Geo DC Meetup,Hadoop DC Meetup,Intel Analytics DC Meetup,Open Analytics DC Meetup,R Users DC Meetup,SAS Meetup of DC-VA,Social Media Analytics DC Meetup,Washington Statistical Society events,WINFORMS events/DC Operations Research Meetup
2431779795,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2430351072,Am a member and sometimes attend,Am a member and usually attend,Am a member and usually attend,Am a member and usually attend,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2429942934,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member
2429585146,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am a member and sometimes attend,Never heard of this,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2429176110,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am a member and sometimes attend,Am a member but rarely attend,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member
2429168355,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Am a member and usually attend,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2429117103,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend
2428725413,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428695254,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428664926,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428571977,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Never heard of this,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am not a member,Am a member and usually attend
2428529507,Never heard of this,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428424368,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2428118200,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Never heard of this,Am a member but rarely attend,Never heard of this
2428098133,,,,,Am a member but rarely attend,,,Am a member but rarely attend,,,Am a member but rarely attend,,,,,Am a member but rarely attend,,,,
2428081924,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427957443,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am a member and usually attend,Am not a member,Never heard of this,Am not a member,Never heard of this
2427830855,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2427787322,Never heard of this,Am a member but rarely attend,Am not a member,Am a member and sometimes attend,Am a member and usually attend,Am not a member,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this
2427784518,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427705904,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427705138,,,,,Am a member and usually attend,,,,,,,,,,,Am a member and usually attend,,,,
2427697714,,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427697000,Never heard of this,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member
2427671905,Am a member and sometimes attend,Am a member but rarely attend,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Never heard of this,Never heard of this,Never heard of this
2427640780,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427618688,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Never heard of this,Am not a member,Never heard of this
2427611706,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427544231,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2427515748,Never heard of this,Am not a member,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Am a member and sometimes attend,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427509993,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Never heard of this,Am not a member
2427508248,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Never heard of this,Never heard of this
2427464245,Am a member but rarely attend,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am a member but rarely attend,,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2427462536,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2427453700,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,,Am not a member,Never heard of this
2427447771,Am a member but rarely attend,Am a member and sometimes attend,Am not a member,Am a member but rarely attend,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2427445251,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Never heard of this,Never heard of this
2427441260,Never heard of this,Am not a member,Am not a member,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member
2427440303,,Am a member but rarely attend,,,Am a member but rarely attend,,,,,,,,,,,,,,,
2427440120,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Am not a member,Am a member and sometimes attend,Never heard of this,Am a member but rarely attend,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Never heard of this,Am a member and sometimes attend,Am not a member,Am a member and sometimes attend,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Never heard of this
2425573005,,,,,,,,,,,,,,,,Am a member and sometimes attend,,,,
2425304453,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this
2423593348,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2423090145,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2422994764,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Never heard of this,Never heard of this,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2422298263,,,,,,,,,,,,,,,,,,,,
2422116432,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2421850635,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am not a member,Never heard of this,
2421702665,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member
2421003865,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Never heard of this
2420739732,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am a member and usually attend,Am a member and usually attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am a member but rarely attend,Am a member and sometimes attend,Am not a member,Never heard of this,Am a member but rarely attend,Am a member but rarely attend
2420148753,,,,,Am a member and sometimes attend,,,,,,,,,,,,,,,
2419940663,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2419922499,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2419824411,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2419788114,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2419726695,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2419646992,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member but rarely attend,Am a member but rarely attend,Am a member and sometimes attend,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Never heard of this
2419565304,,,,,Am a member but rarely attend,,,,,,,,,,,Am a member and usually attend,,,,
2419532454,,Am a member and usually attend,,,Am a member and usually attend,,,,,,,,,,,,,,,
2419530827,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2419494734,Never heard of this,Am a member and sometimes attend,Am not a member,Am a member and sometimes attend,Am a member and sometimes attend,Never heard of this,Am a member and usually attend,Never heard of this,Am a member and sometimes attend,Never heard of this,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Am a member but rarely attend,Never heard of this,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this
2419450166,Never heard of this,Am not a member,Never heard of this,Am not a member,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this
2419317565,Never heard of this,Am not a member,Am not a member,Am a member and sometimes attend,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Never heard of this
2418859733,Never heard of this,Am a member but rarely attend,Never heard of this,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this
2418706049,Never heard of this,Am not a member,Never heard of this,Am a member and usually attend,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am not a member
2418578873,Never heard of this,Am not a member,Never heard of this,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Am not a member
2418322227,,,,,,,,,,,,,,,,,,,,
2418258633,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2418150239,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2417750944,Never heard of this,Am not a member,Am not a member,Am a member and usually attend,Am a member and usually attend,Am a member and sometimes attend,Am not a member,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2417660651,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this
2417481559,Never heard of this,Am not a member,Am not a member,,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2417397668,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2417365295,Never heard of this,Am not a member,Never heard of this,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2417308362,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this,Am a member and usually attend,Am not a member,,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2417304746,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2417267903,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2417246075,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member
2417161255,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Never heard of this
2417131399,Am a member and usually attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member and usually attend,Am not a member,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member
2417087773,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2417049272,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this
2416966501,Am not a member,,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,,Am a member and sometimes attend,Am not a member,Am a member but rarely attend,,Am a member but rarely attend
2416899455,Never heard of this,Am a member and sometimes attend,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member
2416896766,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416854356,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this
2416852591,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416830344,Never heard of this,Am a member but rarely attend,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Never heard of this,Never heard of this
2416813559,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this
