RespondentID,Action Design DC Meetup,Big Data DC Meetup,Big Data District Meetup,Data Business DC Meetup,Data Science DC Meetup,DC ACM events,DC Lean Startup Circle Meetup,DC Python Meetup,DC Tech Meetup,eDiscovery DC Meetup,Federal Big Data Meetup,Geo DC Meetup,Hadoop DC Meetup,Intel Analytics DC Meetup,Open Analytics DC Meetup,R Users DC Meetup,SAS Meetup of DC-VA,Social Media Analytics DC Meetup,Washington Statistical Society events,WINFORMS events/DC Operations Research Meetup
2416797111,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Am not a member,Am a member and usually attend,Am not a member,Never heard of this,Never heard of this,Never heard of this
2416753069,Never heard of this,Am not a member,Never heard of this,Am a member and usually attend,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am not a member,Never heard of this,Never heard of this
2416705953,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,,,,
2416681844,,,,,Am a member but rarely attend,,,,,,,,,,,,,,,
2416657362,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2416655134,Never heard of this,Am a member and sometimes attend,Am not a member,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am not a member,Am not a member,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Am not a member,Never heard of this,Am not a member,Am not a member,Am a member but rarely attend
2416644476,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this
2416635390,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416632090,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416621555,Never heard of this,Am not a member,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Am a member and sometimes attend,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416581848,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Never heard of this,Am a member and usually attend,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Never heard of this,Am a member and sometimes attend,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member and usually attend,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this
2416555616,,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,,,,,,,,Am a member and sometimes attend,,Am a member and sometimes attend,Am a member and sometimes attend,,,,Am a member but rarely attend
2416548520,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416539094,Never heard of this,Am a member but rarely attend,Am not a member,Am a member but rarely attend,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416534519,Never heard of this,Am a member and sometimes attend,Never heard of this,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416507317,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416485623,Never heard of this,Am a member and sometimes attend,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416480941,Never heard of this,Am a member but rarely attend,Never heard of this,Am not a member,Am a member and usually attend,Am a member but rarely attend,Am not a member,Am a member but rarely attend,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Never heard of this,Never heard of this
2416478230,,,,Am a member and usually attend,Am a member and usually attend,,,,,,,,Am a member but rarely attend,,,Am a member and sometimes attend,,Am a member and sometimes attend,,
2416465035,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Never heard of this
2416457858,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member
2416455514,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2416438936,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416426006,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Am a member and sometimes attend,,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am not a member,Never heard of this,Never heard of this
2416423283,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Am a member but rarely attend,Am not a member
2416423141,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416422888,Never heard of this,Am not a member,Am not a member,Am a member and sometimes attend,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416413816,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,,Am a member and sometimes attend,
2416411694,,,,,Am a member but rarely attend,,,,,,,,,,,,,,,
2416408643,Never heard of this,Am a member but rarely attend,Never heard of this,Am not a member,Am a member and usually attend,Never heard of this,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am not a member,Am a member and sometimes attend,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this
2416392354,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416377413,Never heard of this,Am a member and sometimes attend,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Never heard of this,Am not a member,Am a member and sometimes attend,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2416370911,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416366381,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member
2416366234,Never heard of this,Am not a member,Never heard of this,Am a member and sometimes attend,Am a member and usually attend,Am not a member,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Never heard of this
2416348048,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2416341909,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Never heard of this
2416331367,Never heard of this,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416321624,Am not a member,Am a member but rarely attend,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am a member but rarely attend,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am not a member
2416318898,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416192394,Am not a member,Am a member but rarely attend,Am not a member,Am a member and usually attend,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416159607,Never heard of this,Never heard of this,Never heard of this,,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416145976,Never heard of this,Am not a member,Am not a member,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend
2416108785,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416104754,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Never heard of this,Never heard of this
2416102152,Am a member and sometimes attend,Am a member and usually attend,Am not a member,Am a member and usually attend,Am a member and usually attend,Am a member and usually attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Am a member and sometimes attend,Am not a member,Am a member but rarely attend,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Never heard of this
2416076645,,,,,,,,,,,,,,,,Am a member and sometimes attend,,,,
2416076226,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Never heard of this,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am a member and usually attend,Never heard of this,Never heard of this,Am not a member,Never heard of this
2416073905,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member and usually attend,Am a member and sometimes attend,Am a member and usually attend,Am a member but rarely attend,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member
2416072475,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416070772,,Am a member and sometimes attend,,,,,,,,,,,,,,,,,,
2416066212,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416066210,Never heard of this,Am not a member,Am not a member,Am a member but rarely attend,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416063960,Am not a member,Am a member and usually attend,Am a member and usually attend,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member but rarely attend,Am a member and sometimes attend,Never heard of this,Never heard of this
2416060503,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member and sometimes attend,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member
2416057152,Am not a member,Am not a member,Am not a member,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am not a member
2416056881,Never heard of this,Am not a member,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Never heard of this
2416053581,Never heard of this,Am not a member,Am not a member,Am a member but rarely attend,Am a member and usually attend,Never heard of this,Am not a member,Am not a member,Am not a member,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Am a member and sometimes attend
2416051015,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416050883,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member and usually attend,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416050534,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am not a member,Am a member and sometimes attend,Am not a member,Am not a member,Never heard of this,Am not a member
2416049190,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am a member but rarely attend,Am not a member
2416048935,,,,,,,,,,,,,,,,,,,,
2416048853,Never heard of this,Am not a member,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member and sometimes attend,Am not a member,Never heard of this,Never heard of this,Never heard of this
2416048513,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this
2416048298,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416046655,,Am a member and usually attend,,,Am a member and usually attend,,,,,,,,,,,,,,,
2416046442,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member and usually attend,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this
2416046378,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Never heard of this
2416046228,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416045951,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416044853,Never heard of this,Am a member and sometimes attend,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Never heard of this
2416044517,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2416044501,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2416043742,Never heard of this,Am a member and sometimes attend,Am a member and sometimes attend,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416043556,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member and sometimes attend,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member,Am not a member
2416043517,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416042082,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416041382,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Am a member and usually attend,Am a member and usually attend,Am not a member,Am a member but rarely attend,Am a member and sometimes attend,Am a member and sometimes attend,Am not a member,Am a member but rarely attend,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am a member and usually attend,Am not a member,Am not a member,Am not a member,Am not a member
2416039162,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Am a member and sometimes attend,Never heard of this
2416039024,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416039006,Never heard of this,Am not a member,Never heard of this,Am not a member,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Am not a member,Am a member and sometimes attend,Never heard of this
2416038467,Never heard of this,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Am a member but rarely attend,Never heard of this,Am a member but rarely attend,Am not a member,Am a member but rarely attend,Am not a member,Am not a member,Am not a member,Am not a member,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am not a member,Am not a member,Never heard of this,Never heard of this
2416038206,Am not a member,Am a member and usually attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member and usually attend,Am a member and sometimes attend,Am not a member,Am not a member,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Am not a member,Never heard of this,Am not a member,Am a member and usually attend,Am not a member,Am a member and sometimes attend,Never heard of this,Am a member and sometimes attend
2416038129,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Am a member and sometimes attend,Am not a member,Never heard of this,Am not a member,Never heard of this
2416037022,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member but rarely attend,Am a member and sometimes attend,Am a member and sometimes attend,Am a member but rarely attend,Am a member and usually attend,Am a member but rarely attend
2416036397,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and usually attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2416036154,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am a member and sometimes attend,Never heard of this,Never heard of this,Am a member but rarely attend,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am a member but rarely attend,Never heard of this,Never heard of this,Am not a member,Never heard of this
2416036119,Never heard of this,Am not a member,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Never heard of this,Am not a member,Am not a member,Never heard of this,Am not a member,Am a member and sometimes attend,Never heard of this,Never heard of this,Never heard of this,Never heard of this
2415827263,,,,Am a member and usually attend,Am a member and sometimes attend,,,,,,,,,,,Am a member and sometimes attend,,,,
